Gaming_Platform,YoR,Sales_NA,Sales_EU,Sales_JP,Other_Sales,Genre
PSP,2010,0,0,0.02,0,Adventure
PSP,2011,0,0,0.06,0,Adventure
GC,2006,0.31,0.08,0,0.01,Action
Wii,2008,0.17,0.28,0,0.06,Action
3DS,2014,0.01,0,0,0,Adventure
Wii,2010,0.15,0,0,0.01,Action
PSP,2012,0,0,0.03,0,Action
DS,2009,0.15,0.11,0,0.03,Action
PC,2015,0,0.05,0,0,Racing
PS,1996,0.65,0.44,0,0.08,Racing
XB,2004,0.16,0.05,0,0.01,Action
XB,2003,0.06,0.02,0,0,Platform
GBA,2002,0.02,0.01,0,0,Platform
DS,2005,0.01,0,0,0,Platform
PS2,2006,0,0,0.11,0,Adventure
PC,2013,0.04,0.19,0,0.02,Racing
X360,2013,0.19,0.2,0,0.04,Platform
DS,2007,0,0,0.02,0,Adventure
PS2,2001,0.11,0.09,0,0.03,Racing
PS,1997,0.47,0.32,0,0.06,Action
DS,2007,0.09,0,0.01,0.01,Adventure
2600,1974,0.87,0.29,0.96,0.79,Action
3DS,2016,0,0,0.04,0,Action
XOne,2016,0.47,0.33,0,0.08,Action
PS4,2016,0,0,0.03,0,Action
PS,1996,0.01,0.01,0,0,Platform
PS3,2009,0.65,0.4,0,0.19,Action
PS2,2007,0.2,0.16,0,0.05,Action
WiiU,2015,0.04,0.02,0,0.01,Action
X360,2014,0.04,0.03,0,0.01,Racing
PSV,2016,0,0,0.01,0,Action
XB,2005,0.07,0.02,0,0,Action
PS4,2014,,0,0.01,0.02,Action
Wii,2009,0.28,0.39,0,0.08,Action
Wii,2010,0,0.03,0,0,Adventure
WiiU,2015,0.25,0.19,0,0.04,Action
PSV,2015,0,0,0.03,0,Adventure
PS3,2010,0.17,0.04,0.4,0.02,Action
DS,2008,0.27,0.02,0.04,0.03,Platform
3DS,2013,0,0,0.35,0,Action
GBA,2004,0.47,0.18,0,0.01,Adventure
PS4,2014,0.06,0.07,0.03,0.03,Action
2600,1974,0.4,0.5,0.71,0.78,Action
XB,2006,0.15,0.04,0,0.01,Racing
PS2,2004,0.52,0.56,0,0.17,Action
XB,2003,0.02,0.01,0,0,Platform
PS,2000,,0.05,0,0.01,Adventure
DS,2006,1.45,0.07,1.1,0.15,Platform
PS2,2008,0.06,0.05,0,0.02,Platform
PS2,1989,0.13,0.49,0.81,0.39,Racing
DS,2003,0.21,0.13,0.06,0.02,Adventure
XB,2005,0.49,0.2,0,0.02,Adventure
DS,2010,0.05,0.02,0,0.01,Adventure
PS2,2003,0.05,0.04,0.23,0.01,Action
X360,2014,0.04,0.05,0,0.01,Adventure
X360,2010,0,0,0.03,0,Adventure
DS,2008,0,0,0.03,0,Adventure
DS,2007,0.43,0,0,0.04,Action
PSP,2010,0,0,0.02,0,Adventure
PS,1998,0.17,0.12,0,0.02,Racing
Wii,2008,0.12,0,0,0.01,Action
N64,1999,0.18,0.08,0,0.01,Action
PS2,2005,0.23,0.18,0,0.06,Racing
PSV,2011,0.04,0.05,0.02,0.02,Action
GBA,2003,0.16,0.06,0,0,Platform
GB,1990,1.73,0.69,0.59,0.4,Racing
PS3,2012,0.6,0.18,0,0.11,Platform
PC,2014,0,0.01,0,0,Action
Wii,2009,0.1,0.22,0,0.04,Racing
PS2,1999,0.92,0.15,0.92,0.46,Platform
PC,2016,0.04,0.07,0,0.01,Action
PS2,2003,0.22,0.17,0.14,0.06,Action
Wii,2008,0.31,0.18,0,0.05,Action
PS3,2014,0.05,0.05,0,0.02,Racing
GBA,2003,0.07,0.03,0,0,Action
Wii,2009,0.17,0,0,0.01,Action
PS2,2002,8.41,5.49,0.47,1.78,Action
Wii,2007,0.04,0.01,0,0,Action
PSV,2015,0.02,0.02,0.06,0.01,Adventure
GC,2005,0.23,0.06,0.09,0.01,Adventure
XB,2002,0.07,0.02,0,0,Racing
X360,2006,1.17,0.77,0.02,0.22,Action
PS2,2001,0.25,0.19,0,0.06,Action
SNES,1993,0.39,0.12,0.49,0.02,Action
PS2,2003,0.02,0.02,0,0.01,Action
PS2,2006,0.03,0.02,0,0.01,Action
PSP,2010,0.18,0.12,0,0.07,Action
PS2,2002,0.13,0.1,0.74,0.03,Action
DS,2007,0.11,0.01,0,0.01,Racing
NES,1993,0.79,0.14,0.8,0.02,Platform
PS3,2010,0.5,0.4,0.06,0.16,Racing
PSP,2010,0,0,0.11,0,Action
PS4,2016,0,0.04,0,0.01,Action
X360,2015,0.26,0.23,0,0.04,Action
PS2,2006,0,0,0.06,0,Action
PSP,2012,0,0,0.03,0,Adventure
PS3,2011,0.13,0.07,0,0.03,Action
Wii,2008,0.07,0,0,0,Action
GEN,1991,3.03,0.91,0.26,0.13,Platform
Wii,2010,0.06,0.05,0,0.01,Action
X360,2012,0.04,0,0,0,Racing
Wii,2008,0.11,0.01,0,0.01,Racing
PSV,2014,0.08,0.06,0.01,0.05,Action
GC,2003,0.07,0.02,0,0,Platform
Wii,2003,0.21,0.39,0.06,0.32,Action
GBA,2006,0.12,0.04,0,0,Action
XB,2003,0.06,0.02,0,0,Racing
SNES,2005,0.34,1.1,0.27,1.38,Adventure
PC,2011,0,0.01,0,0,Adventure
PS3,2009,0.08,0,0,0.01,Action
PC,2009,0,0.17,0,0.03,Adventure
DS,2008,0.11,0.01,0,0.01,Adventure
PS,2000,0.1,0.07,0,0.01,Action
N64,1999,0.13,0.03,0,0,Racing
PS,1997,0.09,0.06,0,0.01,Racing
N64,1998,0.07,0.02,0,0,Racing
PS,2001,0.08,0.05,0,0.01,Racing
GBA,2003,0.09,0.03,0,0,Racing
Wii,2008,0.23,0.17,0.14,0.05,Platform
PS,1998,0.02,0.01,0,0,Racing
XB,2002,0.14,0.04,0,0.01,Platform
PSP,2011,0,0.08,0,0.03,Action
NES,1986,0,0,1.5,0,Platform
GBA,2001,0.36,0.13,0,0.01,Platform
DS,2005,0.09,0,0.02,0.01,Platform
PSP,2012,0,0,0.02,0,Action
DS,2010,0.12,0,0,0.01,Action
GBA,2005,0.5,0.18,0,,Platform
GC,2003,0.18,0.05,0,0.01,Action
DS,2009,0.02,0,0,0,Platform
PS2,2002,0.1,0.08,0.12,0.03,Adventure
GBA,2005,0.12,0.05,0,0,Action
PS,1998,0.08,0.05,0,0.01,Action
PS,1998,0,0,0.26,0.02,Action
GBA,2002,0.53,0.2,0,0.01,Action
GBA,2002,0.14,0.05,0,0,Action
GB,1988,0.82,0.23,0.35,0.03,Platform
PS3,2015,0.16,0.15,0,0.06,Action
GC,2002,0.09,0.02,0,0,Racing
X360,2010,0.06,0.06,0.04,0.01,Action
X360,2008,1.38,0.84,0,0.25,Racing
DS,2009,0.05,0,0,0,Action
2600,1972,0.22,0.6,0.58,0.71,Platform
SAT,2005,0.38,0.72,0.83,0.22,Action
DS,2008,0,0.02,0,0,Racing
GBA,,0.13,0.05,0,0,Action
PS2,2008,0,0,0.01,0,Adventure
PS2,2008,0.19,0.15,0,0.05,Platform
PSP,2013,0,0,0.01,0,Adventure
N64,1991,0.63,0.38,0.32,0.86,Racing
DS,,0.01,0,0,0,Platform
N64,1999,2.31,0.62,0.14,0.04,Racing
PS,2000,0.34,0.23,0,0.04,Platform
GC,2002,0.04,0.01,0,0,Racing
DS,2009,0.22,0.14,0,0.04,Action
GC,2002,0.55,0.14,0,0.02,Platform
2600,1972,0.93,0.58,0.82,0.51,Platform
PS2,2002,1.23,1.77,0.05,0.49,Action
PS2,2003,0.01,0.71,0.01,0.21,Racing
PS,1998,0.09,2.43,0.12,0.22,Racing
Wii,2007,0,0,0.01,0,Adventure
GB,2001,0,0,0.07,0,Platform
PS2,2001,0,1.1,0.42,0.33,Racing
PS2,2007,0.09,0,0,0.74,Action
PS,1998,0.02,0.01,0,0,Adventure
Wii,2010,0.37,0.01,0.07,0.02,Action
X360,2008,0.89,0.39,0,0.13,Action
PSP,2009,0,0,0.03,0,Action
PS,1997,0.08,0.05,0,0.01,Platform
PS3,2007,0.57,0.32,0.09,0.16,Action
PS2,2010,0,0,0.02,0,Adventure
PC,2003,0,0.03,0,0,Platform
PS4,2015,0.13,0.24,0.1,0.07,Action
X360,2010,0.75,0.52,0.09,0.12,Action
PS2,2002,0.11,0.09,0,0.03,Action
PS,1998,3.68,1.75,1.42,0.28,Platform
DS,2006,0,0,0.1,0,Action
PS3,2010,0,0.03,0,0.01,Platform
Wii,2011,0.27,0.02,0,0.02,Action
PC,2012,0,0.03,0,0,Action
XB,2004,0.08,0.02,0,0,Racing
PSV,2010,0.45,0.97,0.54,0.57,Adventure
WiiU,2013,0.04,0.03,0,0.01,Platform
PS2,2003,0.1,0.07,0,0.02,Action
GBA,2005,0.82,0.3,0,0.02,Action
GBA,2004,0.07,0.03,0,0,Action
PC,2008,0,0.01,0,0,Action
PS4,2015,0.12,0.13,0,0.05,Action
PS3,,0.25,0.42,0.01,0.13,Action
GC,2004,0.06,0.02,0,0,Action
PS,1996,0.18,0.12,0.42,0.05,Racing
SNES,1993,5.99,2.15,2.12,0.29,Platform
