godine,bracni_status,rasa,tip_posla,zdravstveno_osiguranje,plata,obrazovanje
27.0,sami,bela,informacioni,da,57748.0,doktorat
35.0,u braku,bela,informacioni,da,38616.0,osnovne studije
25.0,sami,bela,industrijski,da,26949.0,osnovne studije
40.0,udovci,bela,industrijski,da,47896.0,master
34.0,u braku,crna,industrijski,ne,57076.0,osnovne studije
41.0,,bela,informacioni,ne,86055.0,osnovne studije
32.0,u braku,crna,informacioni,da,49162.0,osnovne studije
49.0,u braku,bela,informacioni,da,46690.0,osnovne studije
38.0,sami,bela,informacioni,ne,52906.0,master
29.0,u braku,bela,industrijski,da,63610.0,osnovne studije
38.0,u braku,bela,informacioni,da,74542.0,osnovne studije
41.0,sami,azijska,informacioni,da,69803.0,osnovne studije
35.0,u braku,bela,informacioni,da,55948.0,master
43.0,u braku,crna,informacioni,da,59495.0,master
33.0,udovci,bela,informacioni,da,51884.0,
32.0,u braku,bela,industrijski,da,25814.0,osnovne studije
32.0,sami,bela,informacioni,da,52716.0,osnovne studije
40.0,,bela,informacioni,da,30737.0,master
39.0,udovci,bela,informacioni,da,71426.0,doktorat
29.0,udovci,bela,industrijski,da,78242.0,master
20.0,sami,crna,industrijski,ne,53725.0,osnovne studije
37.0,sami,bela,informacioni,ne,26599.0,master
,sami,bela,informacioni,da,,osnovne studije
43.0,u braku,bela,industrijski,da,51700.0,osnovne studije
55.0,udovci,,informacioni,da,,master
54.0,sami,,informacioni,da,40244.0,osnovne studije
29.0,udovci,bela,industrijski,da,69101.0,osnovne studije
57.0,sami,,informacioni,da,56299.0,doktorat
21.0,,azijska,industrijski,da,50141.0,osnovne studije
18.0,sami,druga,informacioni,da,42425.0,osnovne studije
38.0,sami,crna,industrijski,da,27054.0,osnovne studije
40.0,u braku,bela,informacioni,da,105832.0,master
53.0,u braku,bela,,ne,43226.0,master
42.0,u braku,crna,industrijski,ne,47252.0,osnovne studije
30.0,u braku,azijska,,da,59735.0,osnovne studije
46.0,sami,bela,industrijski,da,35294.0,osnovne studije
31.0,udovci,bela,industrijski,da,48167.0,doktorat
,u braku,bela,informacioni,ne,36593.0,osnovne studije
44.0,u braku,druga,industrijski,ne,51605.0,master
41.0,u braku,bela,industrijski,da,84240.0,osnovne studije
42.0,u braku,bela,industrijski,da,55631.0,master
29.0,udovci,bela,industrijski,ne,65073.0,osnovne studije
24.0,sami,crna,informacioni,da,62264.0,master
32.0,u braku,azijska,informacioni,da,49165.0,osnovne studije
49.0,u braku,bela,informacioni,da,44541.0,osnovne studije
35.0,sami,azijska,informacioni,ne,,osnovne studije
37.0,u braku,bela,informacioni,da,66589.0,osnovne studije
64.0,u braku,bela,industrijski,da,73827.0,osnovne studije
36.0,u braku,bela,informacioni,da,52814.0,osnovne studije
47.0,u braku,bela,industrijski,,77378.0,doktorat
36.0,u braku,azijska,informacioni,da,49860.0,master
23.0,u braku,crna,informacioni,da,21980.0,srednja skola
,u braku,bela,industrijski,da,59910.0,osnovne studije
24.0,u braku,bela,industrijski,ne,43283.0,osnovne studije
44.0,udovci,bela,informacioni,da,159339.0,doktorat
30.0,sami,druga,industrijski,ne,57669.0,master
39.0,u braku,azijska,informacioni,da,,osnovne studije
42.0,u braku,crna,industrijski,da,94078.0,master
,udovci,azijska,informacioni,da,75691.0,osnovne studije
58.0,udovci,druga,industrijski,da,64509.0,osnovne studije
41.0,sami,bela,industrijski,da,,osnovne studije
39.0,udovci,bela,industrijski,da,35022.0,osnovne studije
43.0,u braku,bela,industrijski,da,,osnovne studije
48.0,sami,bela,informacioni,da,60988.0,osnovne studije
33.0,sami,crna,industrijski,da,31306.0,osnovne studije
69.0,u braku,azijska,informacioni,da,74894.0,master
61.0,u braku,azijska,industrijski,da,44383.0,osnovne studije
22.0,udovci,,informacioni,da,62058.0,osnovne studije
32.0,sami,bela,industrijski,da,36272.0,osnovne studije
24.0,u braku,bela,informacioni,da,94144.0,osnovne studije
40.0,sami,bela,industrijski,da,43197.0,master
39.0,u braku,bela,industrijski,ne,31333.0,osnovne studije
45.0,sami,bela,industrijski,da,57394.0,osnovne studije
37.0,udovci,crna,informacioni,da,54609.0,osnovne studije
42.0,u braku,crna,informacioni,da,42152.0,osnovne studije
40.0,u braku,bela,industrijski,da,41325.0,doktorat
50.0,udovci,crna,informacioni,da,55337.0,osnovne studije
42.0,u braku,bela,industrijski,da,45022.0,osnovne studije
25.0,u braku,bela,informacioni,da,41116.0,master
42.0,u braku,bela,informacioni,da,51817.0,doktorat
49.0,u braku,bela,informacioni,ne,53010.0,doktorat
30.0,u braku,azijska,industrijski,da,30472.0,osnovne studije
49.0,u braku,bela,informacioni,da,44919.0,osnovne studije
39.0,udovci,bela,industrijski,ne,70915.0,osnovne studije
33.0,u braku,druga,informacioni,da,88400.0,master
44.0,u braku,bela,industrijski,da,53996.0,master
45.0,u braku,druga,informacioni,da,40305.0,osnovne studije
32.0,sami,,informacioni,da,,osnovne studije
45.0,,azijska,,da,68630.0,osnovne studije
40.0,u braku,azijska,industrijski,da,57610.0,master
48.0,u braku,bela,informacioni,ne,35131.0,master
51.0,sami,bela,informacioni,da,65200.0,master
,sami,crna,informacioni,da,59658.0,doktorat
35.0,u braku,bela,industrijski,ne,,master
50.0,u braku,bela,informacioni,ne,,osnovne studije
58.0,u braku,bela,industrijski,ne,31912.0,master
35.0,sami,bela,informacioni,da,36327.0,osnovne studije
41.0,u braku,druga,informacioni,da,81754.0,osnovne studije
42.0,u braku,crna,informacioni,da,,master
23.0,u braku,bela,informacioni,da,61000.0,master
42.0,sami,bela,industrijski,da,53591.0,osnovne studije
25.0,u braku,bela,informacioni,,67075.0,
33.0,u braku,bela,informacioni,da,91380.0,osnovne studije
19.0,u braku,druga,industrijski,da,25682.0,srednja skola
,u braku,azijska,informacioni,ne,100892.0,osnovne studije
41.0,u braku,crna,informacioni,da,67564.0,osnovne studije
51.0,sami,bela,informacioni,da,50573.0,doktorat
49.0,u braku,azijska,industrijski,ne,56781.0,master
52.0,sami,azijska,informacioni,,50494.0,osnovne studije
46.0,udovci,crna,industrijski,da,51771.0,
26.0,sami,bela,industrijski,ne,87843.0,osnovne studije
29.0,sami,azijska,informacioni,ne,69096.0,osnovne studije
34.0,u braku,bela,industrijski,,38079.0,osnovne studije
34.0,u braku,azijska,informacioni,da,36568.0,osnovne studije
28.0,udovci,bela,industrijski,ne,27302.0,master
35.0,u braku,bela,industrijski,,58606.0,doktorat
28.0,u braku,bela,industrijski,da,25862.0,master
13.0,u braku,,industrijski,da,44051.0,osnovne studije
37.0,sami,bela,informacioni,da,46768.0,osnovne studije
46.0,udovci,crna,industrijski,da,61662.0,osnovne studije
26.0,,crna,informacioni,ne,34547.0,osnovne studije
29.0,u braku,crna,industrijski,da,59058.0,
23.0,udovci,bela,informacioni,da,53817.0,osnovne studije
39.0,u braku,bela,,,41303.0,osnovne studije
35.0,u braku,bela,industrijski,da,42761.0,osnovne studije
41.0,u braku,crna,informacioni,da,53847.0,osnovne studije
44.0,sami,druga,industrijski,ne,35638.0,master
46.0,udovci,bela,industrijski,ne,34234.0,osnovne studije
46.0,u braku,bela,industrijski,ne,39362.0,osnovne studije
28.0,u braku,bela,industrijski,da,40369.0,osnovne studije
52.0,u braku,bela,industrijski,ne,77568.0,osnovne studije
41.0,,bela,informacioni,da,65761.0,osnovne studije
60.0,u braku,bela,industrijski,da,86284.0,osnovne studije
40.0,udovci,crna,informacioni,da,101867.0,osnovne studije
,u braku,bela,informacioni,da,58892.0,osnovne studije
29.0,u braku,bela,informacioni,da,41636.0,osnovne studije
46.0,u braku,azijska,informacioni,da,61064.0,osnovne studije
33.0,u braku,bela,industrijski,da,94855.0,osnovne studije
36.0,u braku,crna,industrijski,da,44708.0,
23.0,udovci,bela,industrijski,ne,53067.0,master
41.0,udovci,druga,informacioni,da,57057.0,master
39.0,u braku,bela,industrijski,da,53125.0,master
23.0,u braku,bela,industrijski,ne,52619.0,doktorat
40.0,sami,crna,informacioni,ne,64851.0,doktorat
